Datum    | Mätpknt. | UteTemp  | RH%  | Mögel% | Mätpknt. | InneTemp | RH   | Mögel%

16-12-12 | 1346     | -2,9     | 82,9 | 0      | 1438     | 22,7     | 14,1 | 0
16-11-07 | 1407     | -2,0     | 79,8 | 0      | 1436     | 22,3     | 14,8 | 0
16-11-08 | 1435     | -1,8     | 89,6 | 0      | 143      | 22,4     | 14,0 | 0
16-12-03 | 969      | -1,4     | 71,8 | 0      | 1097     | 21,0     | 14,0 | 0
16-11-06 | 845      | -1,0     | 79,8 | 0      | 1427     | 22,5     | 15,8 | 0
16-11-09 | 1351     | -0,2     | 92,2 | 0      | 1319     | 22,9     | 14,0 | 0
16-12-06 | 1437     | -0,1     | 65,4 | 0      | 1437     | 21,4     | 14,0 | 0
16-11-11 | 956      | 0,0      | 94,9 | 75     | 1436     | 23,1     | 14,2 | 0
16-11-28 | 1434     | 0,1      | 86,0 | 30     | 1423     | 22,5     | 14,2 | 0
16-12-02 | 1402     | 0,3      | 68,9 | 0      | 1436     | 21,5     | 14,0 | 0
16-11-04 | 1378     | 0,4      | 80,4 | 2      | 1380     | 22,6     | 14,9 | 0
16-12-01 | 1433     | 0,5      | 60,9 | 0      | 1439     | 21,7     | 14,0 | 0
16-12-11 | 955      | 0,5      | 86,4 | 32     | 1392     | 23,0     | 17,9 | 0
16-11-12 | 1421     | 0,6      | 91,8 | 59     | 1385     | 22,8     | 14,0 | 0
16-11-10 | 766      | 0,8      | 95,5 | 78     | 1398     | 23,5     | 14,3 | 0
16-12-15 | 996      | 1,0      | 88,1 | 40     | 1419     | 21,7     | 14,0 | 0
16-12-13 | 1397     | 1,1      | 87,0 | 35     | 1428     | 22,6     | 15,0 | 0
16-12-04 | 996      | 1,1      | 77,2 | 0      | 504      | 21,2     | 14,0 | 0
16-11-27 | 1420     | 1,4      | 72,6 | 0      | 1442     | 23,3     | 20,3 | 0
16-11-03 | 1420     | 1,5      | 77,6 | 0      | 1432     | 22,4     | 17,3 | 0
16-11-02 | 1429     | 1,5      | 89,6 | 48     | 1333     | 22,7     | 20,4 | 0
16-11-05 | 1146     | 1,6      | 74,3 | 0      | 1404     | 22,9     | 14,0 | 0
16-12-07 | 1420     | 1,9      | 71,6 | 0      | 1137     | 21,4     | 14,0 | 0
16-12-10 | 1230     | 2,2      | 76,6 | 0      | 1414     | 21,1     | 15,1 | 0
16-11-29 | 1392     | 2,4      | 90,7 | 54     | 1391     | 23,0     | 15,5 | 0
16-12-14 | 823      | 2,5      | 95,2 | 76     | 1392     | 22,9     | 15,4 | 0
16-11-30 | 1436     | 3,2      | 68,7 | 0      | 1414     | 21,8     | 14,2 | 0
16-11-01 | 528      | 3,4      | 82,9 | 14     | 1435     | 22,9     | 23,5 | 0
16-12-16 | 1406     | 3,7      | 91,0 | 55     | 1439     | 22,1     | 14,1 | 0
16-11-13 | 1437     | 3,8      | 95,2 | 76     | 1066     | 22,3     | 15,4 | 0
16-11-25 | 1102     | 3,9      | 82,6 | 13     | 1242     | 22,6     | 20,5 | 0
16-12-17 | 1355     | 4,0      | 83,7 | 18     | 1440     | 21,7     | 14,0 | 0
16-11-24 | 1428     | 4,5      | 74,8 | 0      | 1154     | 23,5     | 25,2 | 0
16-12-18 | 401      | 5,0      | 87,1 | 36     | 1433     | 21,0     | 14,0 | 0
16-12-05 | 1426     | 5,0      | 59,8 | 0      | 1421     | 21,4     | 14,1 | 0
16-10-26 | 1420     | 5,1      | 79,7 | 0      | 1268     | 22,7     | 23,1 | 0
16-10-25 | 1407     | 5,2      | 79,2 | 0      | 1364     | 23,0     | 27,0 | 0
16-10-22 | 1407     | 5,4      | 61,8 | 0      | 1417     | 22,5     | 21,7 | 0
16-12-19 | 1060     | 5,5      | 83,8 | 19     | 1396     | 21,4     | 15,1 | 0
16-12-21 | 301      | 6,0      | 76,1 | 0      | 1440     | 22,8     | 19,9 | 0
16-11-14 | 1017     | 6,3      | 95,9 | 79     | 1238     | 23,2     | 20,5 | 0
16-11-16 | 567      | 6,5      | 93,8 | 69     | 1440     | 22,9     | 20,8 | 0
16-10-23 | 1349     | 6,5      | 75,4 | 0      | 1439     | 22,1     | 23,0 | 0
16-12-23 | 25       | 6,5      | 72,2 | 0      | 221      | 22,3     | 18,1 | 0
16-12-09 | 755      | 6,6      | 65,2 | 0      | 1386     | 21,1     | 21,6 | 0
16-10-14 | 631      | 6,6      | 62,8 | 0      | 861      | 22,1     | 24,1 | 0
16-10-30 | 1112     | 7,0      | 57,1 | 0      | 1471     | 23,4     | 23,3 | 0
16-12-22 | 348      | 7,0      | 75,9 | 0      | 1474     | 21,9     | 17,1 | 0
16-11-19 | 352      | 7,1      | 81,1 | 5      | 1253     | 23,0     | 21,7 | 0
16-10-29 | 1423     | 7,1      | 43,7 | 0      | 1432     | 22,3     | 21,5 | 0
16-10-13 | 1589     | 7,2      | 61,8 | 0      | 1700     | 21,9     | 23,6 | 0
16-11-26 | 1390     | 7,2      | 70,9 | 0      | 1180     | 22,8     | 22,1 | 0
16-10-04 | 958      | 7,3      | 62,6 | 0      | 1320     | 22,6     | 28,6 | 0
16-11-20 | 1306     | 7,3      | 81,2 | 6      | 1408     | 22,4     | 21,7 | 0
16-10-24 | 1417     | 7,5      | 73,8 | 0      | 1434     | 22,0     | 26,7 | 0
16-10-21 | 1438     | 7,5      | 62,4 | 0      | 1380     | 22,2     | 24,4 | 0
16-10-07 | 733      | 7,6      | 65,9 | 0      | 666      | 22,5     | 29,0 | 0
16-10-05 | 999      | 7,7      | 60,2 | 0      | 1439     | 23,0     | 28,8 | 0
16-12-08 | 860      | 8,1      | 86,0 | 30     | 492      | 20,1     | 23,2 | 0
16-10-12 | 1569     | 8,2      | 63,0 | 0      | 1633     | 22,4     | 26,9 | 0
16-10-31 | 69       | 8,2      | 60,6 | 0      | 1302     | 23,1     | 22,0 | 0
16-11-15 | 655      | 8,2      | 94,0 | 70     | 1390     | 22,4     | 19,6 | 0
16-12-20 | 1183     | 8,3      | 90,2 | 51     | 1420     | 22,9     | 22,2 | 0
16-10-10 | 1585     | 8,4      | 66,3 | 0      | 1573     | 23,2     | 32,0 | 0
16-10-08 | 514      | 8,4      | 56,3 | 0      | 1490     | 22,2     | 28,3 | 0
16-10-09 | 1413     | 8,8      | 73,0 | 0      | 1405     | 22,1     | 31,0 | 0
16-11-18 | 430      | 8,8      | 88,1 | 41     | 1060     | 23,0     | 24,5 | 0
16-10-11 | 1580     | 8,8      | 63,6 | 0      | 1594     | 22,0     | 27,3 | 0
16-10-20 | 1437     | 8,9      | 61,0 | 0      | 1347     | 21,9     | 26,5 | 0
16-10-27 | 1389     | 9,0      | 78,0 | 0      | 1425     | 21,8     | 25,9 | 0
16-10-18 | 179      | 9,2      | 68,8 | 0      | 215      | 22,4     | 26,7 | 0
16-10-06 | 953      | 9,3      | 57,8 | 0      | 1151     | 22,8     | 28,5 | 0
16-11-17 | 614      | 9,5      | 80,7 | 4      | 1439     | 23,2     | 21,7 | 0
16-06-10 | 464      | 9,5      | 56,2 | 0      | 614      | 24,5     | 20,0 | 0
16-10-19 | 1400     | 9,5      | 71,5 | 0      | 1438     | 22,2     | 29,8 | 0
16-11-23 | 638      | 9,8      | 81,5 | 8      | 1424     | 22,9     | 27,7 | 0
16-11-22 | 1199     | 10,2     | 81,4 | 7      | 1443     | 22,9     | 28,2 | 0
16-10-03 | 1213     | 10,2     | 57,2 | 0      | 1429     | 22,0     | 31,0 | 0
16-10-28 | 1395     | 10,4     | 65,2 | 0      | 1437     | 21,7     | 29,3 | 0
16-11-21 | 1413     | 10,8     | 76,3 | 0      | 1439     | 22,3     | 24,4 | 0
16-06-11 | 1433     | 11,3     | 54,2 | 0      | 1387     | 24,2     | 19,7 | 0
16-10-02 | 1343     | 11,7     | 56,9 | 0      | 1375     | 22,5     | 34,0 | 0
16-09-20 | 100      | 12,0     | 64,2 | 0      | 99       | 23,0     | 36,1 | 0
16-10-01 | 1404     | 12,5     | 51,2 | 0      | 1391     | 23,0     | 39,3 | 0
16-06-06 | 704      | 12,7     | 24,8 | 0      | 1257     | 24,9     | 19,8 | 0
16-09-23 | 1350     | 12,7     | 60,4 | 0      | 1290     | 22,3     | 37,5 | 0
16-06-09 | 46       | 12,8     | 30,3 | 0      | 1361     | 24,4     | 15,7 | 0
16-09-16 | 659      | 13,3     | 54,4 | 0      | 1759     | 24,6     | 39,1 | 0
16-06-12 | 1437     | 13,4     | 44,1 | 0      | 1414     | 23,3     | 21,8 | 0
16-09-17 | 1191     | 13,5     | 59,5 | 0      | 1104     | 24,4     | 37,0 | 0
16-06-05 | 1069     | 13,5     | 31,1 | 0      | 1330     | 24,7     | 23,3 | 0
16-06-18 | 1352     | 13,5     | 93,1 | 65     | 1439     | 24,4     | 36,6 | 0
16-09-22 | 1366     | 13,8     | 62,4 | 0      | 1370     | 21,8     | 37,2 | 0
16-09-30 | 1440     | 14,0     | 44,9 | 0      | 1441     | 22,9     | 44,0 | 0
16-09-24 | 1328     | 14,3     | 64,6 | 0      | 1440     | 21,1     | 40,7 | 0
16-09-29 | 1439     | 14,3     | 72,5 | 0      | 1397     | 21,5     | 47,0 | 0
