Datum | Mätpknt. | UteTemp  | RH%  | Mögel% | Mätpknt. | InneTemp | RH   | Mögel%

17-01 | 3        | 3,8      | 95,0 | 75     | 5        | 21,4     | 18,0 | 0
16-11 | 33312    | 3,3      | 83,5 | 18     | 39374    | 22,8     | 19,1 | 0
16-12 | 23524    | 2,5      | 77,9 | 0      | 29095    | 21,8     | 15,8 | 0
16-10 | 33326    | 8,2      | 64,6 | 0      | 37396    | 22,4     | 27,3 | 0
16-09 | 27733    | 16,2     | 60,4 | 0      | 32322    | 23,3     | 41,6 | 0
16-06 | 15341    | 15,8     | 53,2 | 0      | 21356    | 24,7     | 28,8 | 0
16-07 | 4391     | 20,2     | 53,0 | 0      | 4126     | 26,3     | 41,6 | 0
16-08 | 1919     | 18,1     | 48,6 | 0      | 178      | 25,6     | 34,6 | 0
16-05 | 479      | 25,3     | 32,4 | 0      | 587      | 25,2     | 37,6 | 0
